county
Baringo
Bomet
Siaya
Bungoma
Kericho
Busia
Kakamega
Embu
Garissa
Homa Bay
Isiolo
Kajiado
Elgeyo Marakwet
Kiambu
Kilifi
Kirinyaga
Nyamira
Kisumu
Kitui
Migori
Kwale
Laikipia
Lamu
Machakos
Makueni
Mandera
Murang'a
Marsabit
Meru
Tharaka Nithi
Mombasa
Nairobi
Nakuru
Nandi
Narok
Nyandarua
Nyeri
Samburu
Taita Taveta
Tana River
Trans Nzoia
Turkana
Uasin Gishu
Vihiga
Wajir
West Pokot
Kisii
